,CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
93,One Class SVM (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0013284683227539062,0.002000093460083008
94,MCD (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0021240711212158203,0.021001815795898438
95,Dummy,0.5,0.5,0.5,0.0010001659393310547,0.0
96,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.004000663757324219,3.317995309829712
97,Local Outlier Factor (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0019979476928710938,0.0020346641540527344
98,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.14300179481506348,0.4290175437927246
99,One Class SVM (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.003046751022338867,0.0015442371368408203
100,MCD (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.000995635986328125,0.03598451614379883
101,Dummy,0.5,0.5,0.5,0.0017812252044677734,0.0
102,AutoEncoder (PyOD),0.5,0.5,0.5,0.0029969215393066406,3.3844804763793945
103,Local Outlier Factor (PyOD),0.5,0.5,0.5,0.0019974708557128906,0.002035856246948242
104,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.14799976348876953,0.3640153408050537
105,One Class SVM (PyOD),0.5,0.5,0.5,0.001802206039428711,0.0022437572479248047
106,MCD (PyOD),0.5,0.5,0.5,0.0022923946380615234,0.019047021865844727
107,Dummy,0.5,0.5,0.5,0.0009987354278564453,0.0
108,AutoEncoder (PyOD),0.75,0.75,0.75,0.0029981136322021484,3.310966730117798
109,Local Outlier Factor (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0018889904022216797,0.002107381820678711
110,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.13700604438781738,0.43099308013916016
111,One Class SVM (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0013604164123535156,0.0026025772094726562
112,MCD (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.002971172332763672,0.035987138748168945
113,Dummy,0.5,0.5,0.5,0.000949859619140625,0.0010020732879638672
114,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.003998756408691406,3.5379679203033447
115,Local Outlier Factor (PyOD),0.75,0.75,0.75,0.001999378204345703,0.0019268989562988281
116,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.15700936317443848,0.37303876876831055
117,One Class SVM (PyOD),0.5,0.5,0.5,0.0020017623901367188,0.00096893310546875
118,MCD (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.001972198486328125,0.021998882293701172
119,Dummy,0.5,0.5,0.5,0.005001068115234375,0.0009832382202148438
120,AutoEncoder (PyOD),0.5,0.5,0.5,0.003968715667724609,3.455991744995117
121,Local Outlier Factor (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.006000041961669922,0.0050008296966552734
122,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.14202475547790527,0.3590352535247803
123,One Class SVM (PyOD),0.5,0.5,0.5,0.0011959075927734375,0.001965045928955078
124,MCD (PyOD),0.5,0.5,0.5,0.0019550323486328125,0.03499937057495117
125,Dummy,0.5,0.5,0.5,0.0009970664978027344,0.0
126,AutoEncoder (PyOD),0.5,0.5,0.5,0.0030469894409179688,3.4699816703796387
127,Local Outlier Factor (PyOD),0.5,0.5,0.5,0.0019989013671875,0.0030035972595214844
128,Floresta de Isolamento (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.049729108810424805,0.2593080997467041
129,One Class SVM (PyOD),0.5,0.5,0.5,0.0050623416900634766,0.003059864044189453
130,MCD (PyOD),0.5,0.5,0.5,0.002010345458984375,0.03298354148864746
131,Dummy,0.5,0.5,0.5,0.0010333061218261719,0.0
132,AutoEncoder (PyOD),0.5,0.5,0.5,0.003036022186279297,3.967607259750366
133,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0012784004211425781,0.0030460357666015625
134,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.0590367317199707,0.24899983406066895
135,One Class SVM (PyOD),0.5,0.5,0.5,0.003920793533325195,0.005322694778442383
136,MCD (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.002010822296142578,0.021001815795898438
137,Dummy,0.5,0.5,0.5,0.0009992122650146484,0.0
138,AutoEncoder (PyOD),0.5,0.5,0.5,0.004034280776977539,3.5055696964263916
139,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.002003908157348633,0.0010018348693847656
140,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.13996338844299316,0.3210258483886719
141,One Class SVM (PyOD),0.5,0.5,0.5,0.0019342899322509766,0.003068208694458008
142,MCD (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0013535022735595703,0.024033308029174805
143,Dummy,0.5,0.5,0.5,0.0005235671997070312,0.0
144,AutoEncoder (PyOD),0.5,0.5,0.5,0.003965616226196289,3.406765937805176
145,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0007734298706054688,0.0032248497009277344
146,Floresta de Isolamento (PyOD),0.75,0.75,0.75,0.14221787452697754,0.3380143642425537
147,One Class SVM (PyOD),0.5,0.5,0.5,0.001966238021850586,0.002004384994506836
148,MCD (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0019989013671875,0.020043134689331055
149,Dummy,0.5,0.5,0.5,0.0009996891021728516,0.0009982585906982422
150,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.003997087478637695,3.5110361576080322
151,Local Outlier Factor (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019996166229248047,0.0020041465759277344
152,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.15495944023132324,0.4150199890136719
153,One Class SVM (PyOD),0.5,0.5,0.5,0.0029053688049316406,0.0011289119720458984
154,MCD (PyOD),0.75,0.75,0.75,0.001999378204345703,0.021837711334228516
155,Dummy,0.5,0.5,0.5,0.0009856224060058594,0.0010135173797607422
156,AutoEncoder (PyOD),0.5,0.5,0.5,0.003000020980834961,3.928072452545166
157,Local Outlier Factor (PyOD),0.5,0.5,0.5,0.001997232437133789,0.0030014514923095703
158,Floresta de Isolamento (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0520017147064209,0.2699909210205078
159,One Class SVM (PyOD),0.5,0.5,0.5,0.0020020008087158203,0.0010008811950683594
160,MCD (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0030050277709960938,0.04004049301147461
161,Dummy,0.5,0.5,0.5,0.0,0.0010013580322265625
162,AutoEncoder (PyOD),0.5,0.5,0.5,0.002999544143676758,3.4536123275756836
163,Local Outlier Factor (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.003003358840942383,0.0010013580322265625
164,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.1419994831085205,0.31601810455322266
165,One Class SVM (PyOD),0.5,0.5,0.5,0.0021266937255859375,0.0009605884552001953
166,MCD (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0020008087158203125,0.020010709762573242
167,Dummy,0.5,0.5,0.5,0.0010364055633544922,0.00035691261291503906
168,AutoEncoder (PyOD),0.5,0.5,0.5,0.003035306930541992,3.2689568996429443
169,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.001543283462524414,0.002456188201904297
170,Floresta de Isolamento (PyOD),0.9166666666666666,0.9166666666666666,0.9166666666666666,0.05889725685119629,0.2571127414703369
171,One Class SVM (PyOD),0.5,0.5,0.5,0.0010020732879638672,0.0029985904693603516
172,MCD (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0009911060333251953,0.021045207977294922
173,Dummy,0.5,0.5,0.5,0.0010364055633544922,0.0
174,AutoEncoder (PyOD),0.5,0.5,0.5,0.003002166748046875,3.3956146240234375
175,Local Outlier Factor (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009584426879882812,0.0020377635955810547
176,Floresta de Isolamento (PyOD),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.06600379943847656,0.25981974601745605
177,One Class SVM (PyOD),0.5,0.5,0.5,0.004994630813598633,0.0029997825622558594
178,MCD (PyOD),0.8333333333333334,0.8333333333333334,0.8333333333333334,0.000993967056274414,0.020006179809570312
179,Dummy,0.5,0.5,0.5,0.0010039806365966797,0.0
180,AutoEncoder (PyOD),0.5,0.5,0.5,0.002968311309814453,3.7919156551361084
181,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.002000093460083008,0.0030007362365722656
182,Floresta de Isolamento (PyOD),0.5,0.5,0.5,0.14200258255004883,0.27701640129089355
183,One Class SVM (PyOD),0.5,0.5,0.5,0.0029997825622558594,0.0059967041015625
184,MCD (PyOD),0.5,0.5,0.5,0.0039637088775634766,0.050032854080200195
185,Dummy,0.5,0.5,0.5,0.004999399185180664,0.0
186,AutoEncoder (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.003032207489013672,3.292951822280884
187,Local Outlier Factor (PyOD),0.5833333333333334,0.5833333333333334,0.5833333333333334,0.003034830093383789,0.003000974655151367
188,Floresta de Isolamento (PyOD),0.75,0.75,0.75,0.14799094200134277,0.25101709365844727
